Scale data from file: \jk\Wammi\_w515\download\enamul_haque\enr117wf.txt
Button,Language,Date,Domain,A,C,E,H,L,G,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
r117wf,WAMMI EN 2.5AC,08-02-2020,69.166.116.118, 94 , 94 , 100 , 92 , 91 , 94 ,"Admission and academics are clearly displayed on the top bar.","1","1","Everything is clear.","None","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-03-2020,142.105.7.51, 34 , 15 , 28 , 65 , 43 , 37 ,"Academics and latest news","2","2","user friendly","professor's subject areas could have a search tool","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-03-2020,147.194.237.137, 33 , 11 , 37 , 39 , 14 , 26 ,"riaz.a.siddiqui@gmail.com  The side navigation bar was useful. It was only available on some pages.","1","1","The best aspect is the navigation bar that is always there, its easy to see other resource tabs.","A bit more spacing between items.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-03-2020,147.194.237.137, 88 , 77 , 80 , 88 , 79 , 82 ,"siddia18@mcmaster.ca  Visuals plus the content was well organized","1","1","The well organized sections and page layout.","More description of professor and their research.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-04-2020,184.171.61.130, 94 , 61 , 100 , 92 , 24 , 74 ,"FAQ","2","1","Well organised.","Dont think so","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-04-2020,184.171.61.130, 94 , 94 , 100 , 92 , 91 , 94 ,"easy to find information.","2","1","It was easy to find.","didn't find anything missing.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-04-2020,184.171.61.130, 67 , 67 , 63 , 76 , 70 , 68 ,"Very well organized. I actually like that every department has separate pages. Distributed design.","2","1","Very well designed departmental web pages.","Did not find any","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-04-2020,69.166.116.118, 7 , 31 , 15 , 30 , 5 , 17 ,"songyunc95@gmail.com","4","1","Easy navigation","Content hides too deep from the main page","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-05-2020,27.147.204.228, 26 , 38 , 50 , 20 , 27 , 32 ,"quick search option ","2","1","Simple & informative ","Chronological order of faculties ","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-06-2020,185.128.26.21, 83 , 90 , 100 , 92 , 91 , 91 ,"search section was very accurate and usefull.","1","1","the search section.","na","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-06-2020,185.128.26.21, 94 , 94 , 100 , 92 , 49 , 85 ,"the search box","1","1","the search box","mahdijaf@yahoo.com","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-06-2020,103.60.160.209, 51 , 15 , 21 , 24 , 8 , 23 ,"rashik@nahian.me","1","1","Homepage. It will show all the recent news","No","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,08-06-2020,99.251.139.100, 92 , 82 , 88 , 88 , 85 , 87 ,"ar.tamannakabir@gmail.com easy menu ","1","1","easy menu, easy to find info.","nope","","","","","","","","","","","","","",

,,,Mean, 58.5652173913044 , 57.695652173913 , 65.1304347826087 , 63.8695652173913 , 49.3913043478261 , 58.6086956521739 ,

,,,SSQ, 22049.652173913 , 19918.8695652174 , 18416.6086956522 , 17546.6086956522 , 20573.4782608696 , 16617.4782608696 ,
,,,n, 23 , 23 , 23 , 23 , 23 , 23 ,
